epoch,train loss,val loss,swa
0.0,0.738224842581505,0.7693346320481916,n
19.0,0.3597465420326551,0.4124787331885587,y
39.0,0.2893282529755024,0.3981778533603397,y
59.0,0.24943885472629618,0.37722895925466493,y
79.0,0.21389508571190993,0.3582842340570012,y
99.0,0.19151934779902763,0.35477263474527326,y
119.0,0.17899883606730574,0.35149265247787836,y
139.0,0.16575713117741664,0.3493556944864721,y
159.0,0.1600165318554139,0.34591026733921826,y
179.0,0.15107613971394523,0.3415103650659244,y
199.0,0.14386133991760766,0.34153204951877647,y
219.0,0.13470914332985653,0.35213115190138605,y
239.0,0.12744138075894218,0.35597636234162666,y
259.0,0.12139300805288858,0.3596957456467963,y
