epoch,train loss,val loss,swa
0.0,5.0821445687049716,5.1005673434650385,n
19.0,0.48224758990826955,0.5029716626782148,y
39.0,0.36177167269671123,0.3972311850676082,y
59.0,0.3052922215308826,0.3526206596597045,y
79.0,0.27033830681614285,0.3305967301720469,y
99.0,0.24411459517741094,0.31683662895713943,y
119.0,0.22347256080218844,0.3075294878294196,y
139.0,0.20716798963681915,0.30090695943917056,y
159.0,0.19330194811691603,0.29651926280858865,y
179.0,0.18137501098174774,0.2931925913448183,y
199.0,0.1708060948733796,0.29101262418668616,y
219.0,0.161269183593269,0.288476048905772,y
239.0,0.1527563673182322,0.28702668515708596,y
259.0,0.14511884654802773,0.28613972913671176,y
279.0,0.13804498429112802,0.2848804088537082,y
299.0,0.13152585772199324,0.2833427301000681,y
