epoch,train loss,val loss,swa
0.0,0.49549352452352236,0.4993927977301111,n
19.0,0.06306211343694078,0.06318572266237758,y
39.0,0.04880194124525461,0.05028948958750871,y
59.0,0.04214647843172656,0.044677992667633816,y
79.0,0.03828278609340926,0.04158673849688217,y
99.0,0.03538191780294055,0.039464303189850836,y
119.0,0.033223746773220805,0.038093793441187206,y
139.0,0.031657909571325304,0.03703883161674015,y
159.0,0.03034109074499458,0.03619405338082289,y
179.0,0.029158638863930744,0.03554198156805634,y
199.0,0.028227174364013684,0.0349525183372935,y
219.0,0.027366662015370666,0.03452934430681434,y
239.0,0.02656939413944983,0.03421691790562764,y
259.0,0.025825556229594298,0.033805647792321085,y
279.0,0.02523861301654526,0.03355235697111926,y
299.0,0.02458694898559903,0.033336800973276466,y
