,actual_hardness,predicted_hardness,y_std,load,formula
0,1.809999942779541,3.3370094299316406,3.1887500286102295,0.0,Ag0.05Gd0.048Pd0.902
1,1.6399999856948853,2.0461177825927734,2.5285451412200928,0.0,Ag0.05Y0.048Pd0.902
3,15.029999732971191,10.05368709564209,4.930315017700195,0.0,Al1.5Si1.5N2.5O1.5
4,23.799999237060547,34.00657653808594,6.208155155181885,0.0,Al1.67B22
5,20.700000762939453,28.5135498046875,13.596144676208496,0.0,Al3BC3
6,18.200000762939453,28.5135498046875,13.596144676208496,0.0,Al3BC3
7,11.100000381469727,28.5135498046875,13.596144676208496,0.0,Al3BC3
9,27.0,33.1221923828125,5.517576694488525,0.0,AlB12
10,33.5,27.891244888305664,5.079132556915283,0.0,AlMgB14
11,28.200000762939453,27.891244888305664,5.079132556915283,0.0,AlMgB14
15,1.0700000524520874,2.493764877319336,2.970957040786743,0.0,Au0.5Pt0.5
16,0.49000000953674316,2.931060791015625,2.6326711177825928,0.0,Au0.98Co0.02
17,1.4199999570846558,3.9722824096679688,3.743467092514038,0.0,AuSn
18,2.549999952316284,5.007484436035156,3.4923746585845947,0.0,AuSn2
19,0.7400000095367432,2.8318252563476562,3.6388261318206787,0.0,AuSn4
20,3.5799999237060547,4.56757926940918,3.023277997970581,0.0,AuTiAl
21,8.829999923706055,5.449516296386719,2.750869035720825,0.0,AuV3
22,44.38399887084961,30.817472457885742,8.823965072631836,0.0,B13N2
23,42.01943588256836,30.817472457885742,8.823965072631836,0.0,B13N2
24,41.693199157714844,30.817472457885742,8.823965072631836,0.0,B13N2
25,40.970001220703125,30.817472457885742,8.823965072631836,0.0,B13N2
26,39.31999969482422,34.77191162109375,5.816630840301514,0.0,B50Fe
27,54.0,31.954980850219727,9.611124992370605,0.0,B6O
28,53.0,31.954980850219727,9.611124992370605,0.0,B6O
29,45.0,31.954980850219727,9.611124992370605,0.0,B6O
30,29.420000076293945,27.18427085876465,6.947864055633545,0.0,BaB6
