formula,target
K6S6,1.752063640396657
K12O16V4,1.6254735885432015
O6Rb4Zr2,1.8678575962851127
F4Mn4O4,2.67688749607948
Co1Li2O4Si1,1.7932323701442967
Ca2F6Tl2,1.6774943616398088
Mo1Se2,2.9537844725188536
Cu2O4Rb2,2.0107925468995203
Mn2Na12Te8,2.275843946026764
Cs3F6Y1,1.451558357995522
N16Si12,2.10021846520542
C1Mn1N2,2.3237190736690407
Cu2K4P2,2.5537053471377607
O24Si12,1.4695886544517258
Cl2Ge2H6,1.556806453395326
As2Li2O6,1.9014183302647008
Cu1O2Y1,2.207736111675391
Cd4I8,2.1513240963435263
F20O4Os4,1.6107462038860538
Cs1F6Sb1,1.4138462905610778
Ag2Hg1I4,2.3123536109187928
Cu3K3P2,2.697724164303435
Ge4K4N4O4,1.8898024588123843
F4I4O8,1.9809094712614543
Ca8Cl12O2,1.7971544174054714
K4P4Si2,2.338098871590616
Li8Mn12O32Zn4,2.464982555719208
F4K2Zn1,1.4650169509827158
Cd1O6Pt3,4.168143991434716
Ga2Ge2Te2,7.057081313593223
Ga2Se4Tl2,3.0320203385420825
Al2Se4Tl2,2.878486292017612
As2Be2Na2,2.868607153306287
K4O4Zn2,1.8209356569265849
As4K4Pd2,2.928568933796844
Ca1Mg2Sb2,3.2598568475727294
As2Ca1Mg2,3.013125840938831
As2Be2Li2,3.0382326002683424
As4Ru2,4.852215988597375
Ba2Ge6O18Sn2,1.8015767168418602
Ge4N8Zn4,2.4532481869282337
Bi2Cl2Te2,2.758195303696484
O6Pt3Zn1,3.969718713796552
Au3K3Sb2,3.132570829205952
Ca1F6Ti1,1.4604641050632508
F6Rb1Sb1,1.4052790944625002
Ba3Bi3Na3,3.968053763076638
Fe1Li1O7P2,1.8668244873760005
C2Si2,2.669937919351457
Ag2Na4Sb2,3.4746702481438385
Ag2K4Sb2,2.7142838834580285
As8Li8,3.9303519774527413
Al1F5K2,1.3501851724856109
Na2O2Rb2,1.8586097851171808
Li2Na2S2,1.9801239018472216
As1Cs1F6,1.4094877320028891
As1F6Rb1,1.3964240043888014
Cl4O4W2,1.9889645547369617
As2Cd2Sr1,11.709114967978294
Br4H4,1.5480682934699919
Ag1S8Tb5,2.951872740592451
C2O6Sr2,1.6407889362539392
La1Li3P2,3.480852386030394
P8S10,1.8867078911868331
La1Li3Sb2,4.026095378900008
As1B1O4,1.7845369460894909
F8Na2Y2,1.5010968003219318
Au2Rb2S2,2.0392252613840065
Au2Rb2Te2,2.4514189768377013
Cr2Mn4O8,2.4546451203110133
H2O2Zn1,1.6919577467063787
O8Te4,2.4127411228854583
Br1H3O1,1.6240468999795952
K3O14V5,2.040549027427016
As4Ge2K4,2.6771061490597114
Au3Cs1Se2,2.271348718272904
Au3Rb1Se2,2.3854807342196938
Au3Cs1S2,2.158277476754708
Hf1N2Sr1,3.3035334618125787
C3H3O6Tm1,1.7614708815835325
Ba1La1O6Ru1Zn1,2.6635447558970484
F6Sb1Tl1,1.5213994654045817
Ba2O6Se2,1.81589940984259
K1Nb1O3,2.3924817727050787
P12Pt8Sr2,4.339277973734212
O1P2Sr4,2.6996088605574005
K2Sb2Zn2,4.634320788327621
K2Na2O2,1.796831748754828
In2S4Zn1,4.529166674132531
Ag3I1S1,2.9076002537244015
F6Pt1Zn1,1.8095485624873504
Ca1F6Pt1,1.5685820560833763
Ba2Hf1S4,2.596806821206896
Cu2Na4P2,3.0781487943237216
Mn2Rb4S4,2.000526847274647
K4Mn2S4,1.9960270539248668
F2La2Se2,2.5115599402230737
K2P2Zn2,2.918650829864154
Cr2H2O4,2.1501280314565867
Fe1Li5O8Si2,1.7388070623275034
Cu2K2Te2,2.9955796879179664
Cs2F6Ge1,1.4208011824319462
